y1,x1_COBYQA,x1_LINCOA,y2,x2_COBYQA,x2_LINCOA,y3,x3_COBYQA,x3_LINCOA,y4,x4_COBYQA,x4_LINCOA,y5,x5_COBYQA,x5_LINCOA,y6,x6_COBYQA,x6_LINCOA,y7,x7_COBYQA,x7_LINCOA,y8,x8_COBYQA,x8_LINCOA,y9,x9_COBYQA,x9_LINCOA
0.21875,0.0,0.0,0.21875,0.0,0.0,0.21875,0.0,0.0,0.21875,0.0,0.0,0.21875,0.0,0.0,0.21875,0.0,0.0,0.21875,0.0,0.0,0.21875,0.0,0.0,0.21875,0.0,0.0
0.21875,0.0,0.0,0.21875,0.0,0.0,0.21875,0.0,0.0,0.21875,0.0,0.0,0.21875,0.0,0.0,0.21875,0.0,0.0,0.21875,0.0,0.0,0.21875,0.0,0.0,0.21875,0.0,0.0
0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0
0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0
0.28125,0.0,0.0,0.28125,0.0,0.0,0.28125,0.0,0.0,0.28125,0.0,0.0,0.28125,0.0,0.0,0.28125,0.0,0.0,0.28125,0.0,0.0,0.28125,0.0,0.0,0.28125,0.0,0.0
0.28125,0.0,0.0,0.28125,0.0,0.0,0.28125,0.0,0.0,0.28125,0.0,0.0,0.28125,0.0,0.0,0.28125,0.0,0.0,0.28125,0.0,0.0,0.28125,0.0,0.0,0.28125,0.0,0.0
0.3125,0.0,0.0,0.3125,0.0,0.0,0.3125,0.0,0.0,0.3125,0.0,0.0,0.3125,0.0,0.0,0.3125,0.0,0.0,0.3125,0.0,0.0,0.3125,0.0,0.0,0.3125,0.0,0.0
0.3125,0.0,0.0,0.3125,0.0,0.0,0.3125,0.0,0.0,0.3125,0.0,0.0,0.3125,0.0,0.0,0.3125,0.0,0.0,0.3125,0.0,0.0,0.3125,0.0,0.0,0.3125,0.0,0.0
0.34375,0.0,0.0,0.34375,0.0,0.0,0.34375,0.0,0.0,0.34375,0.0,0.0,0.34375,0.0,0.0,0.34375,0.0,0.0,0.34375,0.0,0.0,0.34375,0.0,0.0,0.34375,0.0,0.0
0.34375,0.0,0.0,0.34375,0.0,0.0,0.34375,0.0,0.0,0.34375,0.0,0.0,0.34375,0.0,0.0,0.34375,0.0,0.06711419585853703,0.34375,0.0,0.0,0.34375,0.0,0.0,0.34375,0.0,0.04064198449734577
